ck,random,rw,subjects_io_fixed_freq,subjects_io_fixed_trans,subjects_io_jump_freq,subjects_io_jump_trans,wsls
1.86013269943169e-19,7.61397242016175e-14,7.75694954363606e-14,0.0421202415631323,0.0327617177893851,0.92511582490782,2.2157395094895e-06,5.18669744808624e-18
1.14645343913177e-19,9.61755999948025e-18,2.03140776485638e-13,0.0919487361093954,0.0194728486359531,0.88857801438399,4.00870458522875e-07,2.25691204667438e-18
5.22395712057082e-07,0.0323684340158225,0.967625743065821,1.50754809184489e-32,4.93037016007213e-33,1.74035631368887e-27,3.40849583700535e-37,5.30052264410802e-06
1.2975196607201e-06,0.000240266580608634,0.999758435687024,8.91449409544796e-15,5.44841047189582e-16,1.82202247178946e-14,1.58207608641975e-20,2.12678629474114e-10
1.0162640599666e-10,9.7043007528681e-07,0.000247770011558209,0.91398609788466,0.000451217517921814,0.0853139192993422,2.46505660408832e-08,1.04250370390558e-10
4.83683105663863e-07,0.00377941126703696,0.996214198796313,3.68108026486703e-20,4.64058272688551e-17,5.97524081068795e-20,1.16986885272256e-22,5.90625354420502e-06
5.99465432274558e-18,1.42329386638459e-13,1.39212071020532e-11,0.00373266334314464,0.912796739549578,0.0834591531803024,1.14439129115083e-05,5.93221165934361e-24
1.58855024895052e-08,0.967160642208131,0.0328383119167163,3.1814811022437e-46,4.64657038442947e-46,1.5174725687737e-45,1.11784047697155e-50,1.02998965016323e-06
1.39710085322774e-08,0.928421459560215,0.071577872772917,1.05205636344674e-23,1.93636528811311e-24,1.48384718484703e-22,1.92870036869031e-29,6.53695859018928e-07
2.07169325109383e-20,7.18665897274067e-07,7.58525124004524e-14,4.4542035288439e-07,5.34805195207349e-11,0.999998835860125,6.80669561336655e-14,6.81414919711177e-18
6.18596227515439e-10,0.530275506766399,0.00107606638623164,0.15518740677287,0.0550119843240127,0.258446956674727,2.07749079946611e-06,9.66364020966101e-10
4.90813530818452e-07,0.0721277338725854,0.927871072831891,2.8327574620154e-07,2.15057405960318e-08,6.66728829442933e-09,9.07833427273213e-14,3.91033127069186e-07
7.60927659669728e-13,1.75838210977306e-10,1.33246631063904e-06,0.000348501037577554,0.998686491550387,0.000929725275298394,3.3949493823405e-05,3.85357009623383e-15
