subject,session,runtime,p1,pmod_mean,pmod_surprise,pmod_sd,pmod_pe
11,3,64.55,NaN,0.614970173970739,0.385029826029261,0,0.385029826029261
11,3,73.1,0.6,0.728686401876595,0.271313598123405,0,0.271313598123405
11,3,74.5,NaN,0.808817230379771,0.191182769620229,0,0.191182769620229
11,3,76.1,NaN,0.865281903846793,0.134718096153207,0,0.134718096153207
11,3,77.65,NaN,0.905070077877853,0.0949299221221466,0,-0.905070077877853
11,3,79.05,NaN,0.63776311023814,0.63776311023814,0,-0.63776311023814
11,3,80.45,NaN,0.449403637046897,0.449403637046897,0,-0.449403637046897
11,3,81.95,NaN,0.316674993816382,0.316674993816382,0,0.683325006183618
11,3,83.35,NaN,0.518490897114847,0.481509102885153,0,0.481509102885153
11,3,84.85,NaN,0.660701695294079,0.339298304705921,0,0.339298304705921
11,3,86.4,NaN,0.760911395264378,0.239088604735622,0,-0.760911395264378
11,3,87.85,NaN,0.536180821707538,0.536180821707538,0,0.463819178292462
11,3,89.45,NaN,0.673167007764209,0.326832992235791,0,-0.673167007764209
11,3,91.05,NaN,0.474351207796027,0.474351207796027,0,0.525648792203973
11,3,92.45,NaN,0.629598395966228,0.370401604033772,0,0.370401604033772
11,3,94,NaN,0.73899426707414,0.26100573292586,0,-0.73899426707414
11,3,95.4,NaN,0.520736784628256,0.520736784628256,0,-0.520736784628256
11,3,96.8,NaN,0.36694032815517,0.36694032815517,0,0.63305967184483
11,3,98.2,NaN,0.553910669294512,0.446089330705488,0,0.446089330705488
11,3,99.6,NaN,0.68566045221398,0.31433954778602,0,0.31433954778602
11,3,101.2,NaN,0.778498734443944,0.221501265556056,0,0.221501265556056
11,3,109.6,0.366666666666667,0.843917792118436,0.156082207881564,0,-0.843917792118436
11,3,111,NaN,0.594671781823501,0.594671781823501,0,0.405328218176499
11,3,112.55,NaN,0.714383016950855,0.285616983049145,0,0.285616983049145
11,3,114.05,NaN,0.798738263590192,0.201261736409808,0,0.201261736409808
11,3,115.6,NaN,0.858179698874134,0.141820301125866,0,0.141820301125866
11,3,117.15,NaN,0.900065466142669,0.0999345338573311,0,0.0999345338573311
11,3,118.6,NaN,0.929580525651129,0.070419474348871,0,0.070419474348871
11,3,120.2,NaN,0.950378491036434,0.0496215089635655,0,0.0496215089635655
11,3,121.65,NaN,0.965033903269108,0.0349660967308923,0,-0.965033903269108
11,3,123.15,NaN,0.680016982858669,0.680016982858669,0,0.319983017141331
11,3,124.65,NaN,0.774522029593624,0.225477970406376,0,0.225477970406376
11,3,126.05,NaN,0.841115582968194,0.158884417031806,0,-0.841115582968194
11,3,127.6,NaN,0.592697188179453,0.592697188179453,0,0.407302811820547
11,3,129.2,NaN,0.712991607584149,0.287008392415851,0,-0.712991607584149
11,3,130.75,NaN,0.502413853182235,0.502413853182235,0,0.497586146817765
11,3,132.25,NaN,0.649372908946463,0.350627091053537,0,-0.649372908946463
11,3,133.85,NaN,0.457584551999715,0.457584551999715,0,-0.457584551999715
11,3,135.3,NaN,0.322439725070272,0.322439725070272,0,-0.322439725070272
11,3,136.85,NaN,0.227209104522954,0.227209104522954,0,0.772790895477046
11,3,138.35,NaN,0.455448216541666,0.544551783458334,0,0.544551783458334
11,3,139.8,NaN,0.616278288728286,0.383721711271714,0,0.383721711271714
11,3,148.3,0.766666666666667,0.729608172860646,0.270391827139354,0,-0.729608172860646
11,3,149.7,NaN,0.51412281651142,0.51412281651142,0,0.48587718348858
11,3,151.1,NaN,0.657623700849776,0.342376299150224,0,0.342376299150224
11,3,152.65,NaN,0.758742467843093,0.241257532156907,0,0.241257532156907
