subject,session,runtime,p1,pmod,pmod_surprise
8,10,175.2,NaN,0.954964434309066,0.045035565690934
8,10,183.6,0.933333333333333,0.96385813335249,0.0361418666475098
8,10,185,NaN,0.970995489792874,0.0290045102071259
8,10,186.4,NaN,0.976723349113092,0.023276650886908
8,10,188,NaN,0.981320061168353,0.0186799388316471
8,10,189.6,NaN,0.985009006817629,0.0149909931823714
8,10,191.05,NaN,0.987969453293221,0.0120305467067791
8,10,192.55,NaN,0.990345265833741,0.00965473416625862
8,10,193.95,NaN,0.794770221792975,0.794770221792975
8,10,195.5,NaN,0.835299342591593,0.164700657408407
8,10,196.95,NaN,0.67034302750582,0.67034302750582
8,10,198.4,NaN,0.537962562177397,0.537962562177397
8,10,199.95,NaN,0.629206490298329,0.370793509701671
8,10,201.55,NaN,0.504949737329218,0.504949737329218
8,10,203.15,NaN,0.602713093468172,0.397286906531828
8,10,204.6,NaN,0.483688300938116,0.483688300938116
8,10,206.05,NaN,0.58565040119391,0.41434959880609
8,10,207.5,NaN,0.469995177750634,0.469995177750634
8,10,209.05,NaN,0.574661418938725,0.425338581061275
8,10,210.45,NaN,0.658657995277447,0.341342004722553
8,10,211.9,NaN,0.528585109710874,0.528585109710874
8,10,213.35,NaN,0.424199235735936,0.424199235735936
8,10,214.8,NaN,0.340427659222899,0.340427659222899
8,10,223.3,0.533333333333333,0.273199434136002,0.273199434136002
8,10,224.8,NaN,0.219247551690157,0.219247551690157
8,10,226.25,NaN,0.373431854610598,0.626568145389402
8,10,227.65,NaN,0.49716758280223,0.50283241719777
8,10,229.1,NaN,0.398986094732683,0.398986094732683
8,10,230.65,NaN,0.320193651590841,0.320193651590841
8,10,232.2,NaN,0.25696127226631,0.25696127226631
8,10,233.75,NaN,0.206216129260101,0.206216129260101
8,10,235.15,NaN,0.3629738993375,0.6370261006625
8,10,236.75,NaN,0.291293204939655,0.291293204939655
8,10,238.35,NaN,0.233768134289787,0.233768134289787
8,10,239.8,NaN,0.187603211069234,0.187603211069234
8,10,241.35,NaN,0.15055501431114,0.15055501431114
8,10,242.9,NaN,0.120823157583708,0.120823157583708
8,10,244.45,NaN,0.0969627977871833,0.0969627977871833
8,10,245.85,NaN,0.0778144218603498,0.0778144218603498
8,10,247.4,NaN,0.0624474993259823,0.0624474993259823
8,10,248.95,NaN,0.0501152624261241,0.0501152624261241
