model,log_evidence,parameters
subjects_io_fixed_freq_srp1,-2.47183729046936,5.59529667043535e-08
subjects_io_fixed_freq_srp1,-7.97996783872165,7.45569739279972e-08
subjects_io_fixed_freq_srp1,-22.4684459798127,7.41489536437712e-10
subjects_io_fixed_freq_srp1,9.21048535523376,0.00211324281102421
subjects_io_fixed_freq_srp1,26.3777187661862,-0.00605968294054193
subjects_io_fixed_freq_srp1,0.724728119361889,3.00669169561729e-08
subjects_io_fixed_freq_srp1,-47.574785632543,1.44210223762542e-07
subjects_io_fixed_freq_srp1,-22.3275089182997,2.61948791546729e-08
subjects_io_fixed_freq_srp1,14.54526144057,-0.0164641747644829
subjects_io_fixed_freq_srp1,11.4972008961911,-0.0189551287729071
subjects_io_fixed_freq_srp1,0.584668194954973,3.22509023931161e-08
subjects_io_fixed_freq_srp1,-3.06988113649655,-2.12566440005446e-08
subjects_io_fixed_freq_srp1,-0.485043710873239,5.37018784996235e-09
subjects_io_fixed_freq_srp1,34.4540707518947,0.0126745308444178
subjects_io_fixed_freq_std1,34.5531187335461,0.000224355902008533
subjects_io_fixed_freq_std1,-0.631821503988479,5.44959393167233e-08
subjects_io_fixed_freq_std1,7.48253229303201,0.00785757513212459
subjects_io_fixed_freq_std1,-31.1465750199777,-4.27598014773878e-08
subjects_io_fixed_freq_std1,-34.9686044090623,1.69937943717002e-07
subjects_io_fixed_freq_std1,-34.4652720119563,2.28195578433343e-07
subjects_io_fixed_freq_std1,-23.1765934969835,-1.84918702572645e-09
subjects_io_fixed_freq_std1,-29.5230195656493,-6.13905091206846e-08
subjects_io_fixed_freq_std1,3.71142802811868,0.0367618620702403
subjects_io_fixed_freq_std1,-8.07615466395792,-7.12101222433148e-09
subjects_io_fixed_freq_std1,-30.5597038926711,-1.25882310797465e-07
subjects_io_fixed_freq_std1,-3.94547352019114,5.59586030846049e-08
subjects_io_fixed_freq_std1,-35.8650444105454,-2.23083468940822e-07
subjects_io_fixed_freq_std1,-21.6382096982763,-4.07537363855681e-08
subjects_io_fixed_freq_std1,-39.6612849539698,-2.36720422819303e-07
subjects_io_fixed_freq_std1,-14.6042927680263,5.64277318204631e-08
subjects_io_fixed_freq_std1,-2.01195051737839,-3.02462186407837e-08
subjects_io_fixed_freq_std1,-27.1334349202061,-9.24121326129068e-08
subjects_io_fixed_freq_std1,-10.2090016771494,-3.23772364474451e-08
subjects_io_fixed_freq_std1,-3.74418917217566,3.44258612727799e-08
subjects_io_fixed_freq_std1,-12.036465408951,-3.01789713219591e-08
subjects_io_fixed_freq_std1,-17.8232772217041,-2.78102021411542e-08
subjects_io_fixed_freq_std1,5.24314791441754,0.00211324281102421
subjects_io_fixed_freq_std1,28.4013868667591,-0.0096319394264377
subjects_io_fixed_freq_std1,-1.27227085563983,5.06617245932262e-08
subjects_io_fixed_freq_std1,-48.0625454086352,1.78301738262832e-07
subjects_io_fixed_freq_std1,-21.6991950761292,5.01243646588989e-08
subjects_io_fixed_freq_std1,14.2044960586235,-0.0164641747644829
subjects_io_fixed_freq_std1,11.9688815097284,-0.0189551287729071
subjects_io_fixed_freq_std1,1.49789277943018,3.22509023931161e-08
subjects_io_fixed_freq_std1,-3.2098519683009,-2.12566440005446e-08
subjects_io_fixed_freq_std1,-0.499436358867218,5.37018784996235e-09
subjects_io_fixed_freq_std1,30.1680543911174,0.0126745308444178
subjects_io_fixed_trans_srp1,33.937974377785,-4
subjects_io_fixed_trans_srp1,-4.55152129941341,-4
subjects_io_fixed_trans_srp1,7.58234312260809,-4
subjects_io_fixed_trans_srp1,-31.1508664209062,-4
subjects_io_fixed_trans_srp1,-34.77369440422,-4
subjects_io_fixed_trans_srp1,-27.5461878305433,-4
subjects_io_fixed_trans_srp1,-20.9135876975499,-4
subjects_io_fixed_trans_srp1,-33.9293860260411,-4
subjects_io_fixed_trans_srp1,-11.4098569127243,-4
subjects_io_fixed_trans_srp1,-11.7424467390791,-4
subjects_io_fixed_trans_srp1,-27.732538166551,-4
subjects_io_fixed_trans_srp1,-3.75006366586977,-4
subjects_io_fixed_trans_srp1,-34.9461343782603,-4
