model,log_evidence,parameters
rw,-22.7188150597491,-0.137280969773637
subjects_io_fixed_freq_srp1,-10.2783479925801,5.66642599508782e-09
subjects_io_fixed_freq_srp1,-12.1672830045212,9.66601909624387e-09
subjects_io_fixed_freq_srp1,46.4084450659721,0.0378078577615595
subjects_io_fixed_freq_srp1,0.698693654761102,-2.17659357204525e-08
subjects_io_fixed_freq_srp1,-22.2561644218587,4.8878562086685e-08
subjects_io_fixed_freq_srp1,12.7748031439904,-0.0371111436011518
subjects_io_fixed_freq_srp1,-46.0482620050692,-1.47007243711528e-07
subjects_io_fixed_freq_srp1,-49.3439765802754,1.01934372498391e-07
subjects_io_fixed_freq_srp1,-38.6139211485417,1.19243653173839e-07
subjects_io_fixed_freq_srp1,7.34277773968006,0.0679452405550247
subjects_io_fixed_freq_srp1,3.87279415399642,0.0170105236421829
subjects_io_fixed_freq_srp1,-25.1669385795217,4.4398321241701e-08
subjects_io_fixed_freq_srp1,-7.80119487676214,1.26254553478589e-08
subjects_io_fixed_freq_srp1,-44.213329699176,-6.60126708851294e-09
subjects_io_fixed_freq_srp1,-43.4908836594541,-2.08894690434391e-07
subjects_io_fixed_freq_srp1,-5.49089197616368,2.75002380867306e-08
subjects_io_fixed_freq_srp1,-5.853652160219,-2.88798562841919e-08
subjects_io_fixed_freq_srp1,-24.4941082546319,1.54872381585847e-09
subjects_io_fixed_freq_srp1,32.5134606171643,0.00939923753605143
subjects_io_fixed_freq_srp1,-22.1483370528036,2.83377765697423e-11
subjects_io_fixed_freq_srp1,-12.812585629071,-4.88385061281349e-08
subjects_io_fixed_freq_srp1,-23.8604911885682,9.4017316598638e-08
subjects_io_fixed_freq_srp1,33.8624075755434,0.000224355902008533
subjects_io_fixed_freq_srp1,-1.55338203465477,5.53627863553174e-08
subjects_io_fixed_freq_srp1,-49.9545607000845,-1.19505965123778e-07
subjects_io_fixed_freq_srp1,-15.7596503679303,-1.86423498860222e-09
subjects_io_fixed_freq_srp1,-30.5864941898503,2.11454864285088e-07
subjects_io_fixed_freq_srp1,-7.07036306570473,-3.0693719788033e-08
subjects_io_fixed_freq_srp1,-12.9212546687965,1.17317671133321e-08
subjects_io_fixed_freq_srp1,-44.1720028429615,4.78856465273625e-08
subjects_io_fixed_freq_srp1,3.20245564263338,1.39866936255117e-07
subjects_io_fixed_freq_srp1,29.4537169953792,-0.0482298091033941
subjects_io_fixed_freq_srp1,-60.8465930135931,-1.62659787417141e-07
subjects_io_fixed_freq_srp1,18.1214455420565,-0.123962245660763
subjects_io_fixed_freq_srp1,-16.3961989558304,6.72569204773765e-08
subjects_io_fixed_freq_std1,-11.274733109695,1.14200768841499e-08
subjects_io_fixed_freq_std1,-11.0769734783101,-2.54513885522556e-08
subjects_io_fixed_freq_std1,42.8113068027682,0.0378078577615595
subjects_io_fixed_freq_std1,0.287936395807997,-2.17659357204525e-08
subjects_io_fixed_freq_std1,-24.3859625314606,4.8878562086685e-08
subjects_io_fixed_freq_std1,8.2260993572322,-0.0371111436011518
subjects_io_fixed_freq_std1,-50.7592583752698,-1.47007243711528e-07
subjects_io_fixed_freq_std1,-48.7362117289869,1.01934372498391e-07
subjects_io_fixed_freq_std1,-38.4433538540202,1.19243653173839e-07
subjects_io_fixed_freq_std1,2.42538566535069,1.97890792641431e-08
subjects_io_fixed_freq_std1,3.8830983449711,-0.00351222152726649
subjects_io_fixed_freq_std1,-19.3059547119142,4.16715750795049e-08
subjects_io_fixed_freq_std1,-5.75323128146962,3.70054769049943e-08
subjects_io_fixed_freq_std1,-46.7054997176689,3.18721449232839e-09
subjects_io_fixed_freq_std1,-43.5763437509339,1.12306777211302e-08
subjects_io_fixed_freq_std1,-15.1876804858908,2.88810708681808e-09
subjects_io_fixed_freq_std1,-5.31046120190722,2.08640216214917e-10
subjects_io_fixed_freq_std1,-23.894440262396,2.75002380867306e-08
subjects_io_fixed_freq_std1,33.3887603669524,0.0995303705320403
subjects_io_fixed_freq_std1,-22.4201766202234,6.51289275843681e-08
subjects_io_fixed_freq_std1,-13.0735132560078,2.6309094014465e-08
subjects_io_fixed_freq_std1,-22.5650635196401,2.83377765697423e-11
subjects_io_fixed_freq_std1,26.3794570506671,0.000224355902008533
subjects_io_fixed_freq_std1,-1.66581711567174,-5.33126705004605e-08
subjects_io_fixed_freq_std1,-49.9659927537713,1.58576214825956e-07
subjects_io_fixed_freq_std1,-13.541284800582,-9.24964658199912e-08
subjects_io_fixed_freq_std1,-34.4144290155237,1.14662223271722e-07
subjects_io_fixed_freq_std1,-6.87812352018373,-1.86423498860222e-09
subjects_io_fixed_freq_std1,-22.7537702949371,1.82175776686222e-08
subjects_io_fixed_freq_std1,-35.6292690822198,4.78856465273625e-08
subjects_io_fixed_freq_std1,2.18791940261499,-1.27493238188947e-08
subjects_io_fixed_freq_std1,29.2094880269379,-0.0482298091033941
subjects_io_fixed_freq_std1,-59.4725786264567,-1.62659787417141e-07
subjects_io_fixed_freq_std1,17.9928993834395,-0.123962245660763
subjects_io_fixed_freq_std1,-18.5275145090347,3.50113427138865e-08
subjects_io_fixed_trans_srp1,-11.8589603954565,-4
subjects_io_fixed_trans_srp1,-11.3913293977166,-4
subjects_io_fixed_trans_srp1,44.3126737603882,-4
subjects_io_fixed_trans_srp1,3.63259515104488,-4
subjects_io_fixed_trans_srp1,-24.6123758166912,-4
subjects_io_fixed_trans_srp1,8.69265909237777,-4
subjects_io_fixed_trans_srp1,-44.4958306405484,-4
subjects_io_fixed_trans_srp1,-47.8005167054622,-4
subjects_io_fixed_trans_srp1,-36.4748022533199,-4
subjects_io_fixed_trans_srp1,1.61394345332737,-4
subjects_io_fixed_trans_srp1,4.16389366743842,-4
subjects_io_fixed_trans_srp1,-26.5822639021789,-4
