model,subject,log_evidence,nll
rw,17,173.686574008211,-173.686574008211
rw,18,111.767864651304,-111.767864651304
rw,19,197.180276188738,-197.180276188738
rw,20,139.592500189789,-139.592500189789
rw,21,121.36508847176,-121.36508847176
rw,22,150.070100503212,-150.070100503212
rw,23,145.056991454296,-145.056991454296
rw,24,129.169059720046,-129.169059720046
rw,25,114.779880379727,-114.779880379727
rw,26,182.012172132282,-182.012172132282
rw,27,141.299365890322,-141.299365890322
rw,28,141.770432839132,-141.770432839132
rw,29,192.632744912447,-192.632744912447
rw,30,90.6010992319048,-90.6010992319048
rw,31,162.107156410041,-162.107156410041
rw,32,254.297168230626,-254.297168230626
rw,33,112.901130799873,-112.901130799873
rw,36,128.915504535996,-128.915504535996
rw,37,149.621031946534,-149.621031946534
rw,38,160.751071851323,-160.751071851323
rw,39,127.02457220329,-127.02457220329
rw,41,172.780958012742,-172.780958012742
rw,42,96.2701166217688,-96.2701166217688
rw,43,126.165509337063,-126.165509337063
rw,44,125.186727169289,-125.186727169289
