model,subject,log_evidence,nll
io_fixed_trans,14,175.939087867269,-175.939087867269
io_fixed_trans,15,153.915797693309,-153.915797693309
io_fixed_trans,16,173.588111165514,-173.588111165514
io_fixed_trans,17,172.923737520926,-172.923737520926
io_fixed_trans,18,189.104761390325,-189.104761390325
io_fixed_trans,19,160.084153083683,-160.084153083683
io_fixed_trans,20,197.998566366228,-197.998566366228
io_fixed_trans,21,102.328187945459,-102.328187945459
io_fixed_trans,22,156.828389302753,-156.828389302753
io_fixed_trans,23,206.861305398573,-206.861305398573
io_fixed_trans,24,172.199337473785,-172.199337473785
io_fixed_trans,25,182.41339602466,-182.41339602466
io_fixed_trans,26,182.207244590335,-182.207244590335
io_fixed_trans,27,166.849094170692,-166.849094170692
io_fixed_trans,28,155.008596418475,-155.008596418475
io_fixed_trans,29,218.22224883464,-218.22224883464
io_fixed_trans,30,144.347416314439,-144.347416314439
io_fixed_trans,31,197.199418933616,-197.199418933616
io_fixed_trans,32,208.300322839274,-208.300322839274
io_fixed_trans,33,110.612538919105,-110.612538919105
io_fixed_trans,36,141.791319745395,-141.791319745395
io_fixed_trans,37,157.686145934998,-157.686145934998
io_fixed_trans,38,160.484722603133,-160.484722603133
io_fixed_trans,39,96.9992581270814,-96.9992581270814
io_fixed_trans,41,154.700825436866,-154.700825436866
io_fixed_trans,42,119.452733536948,-119.452733536948
io_fixed_trans,43,145.788300235918,-145.788300235918
io_fixed_trans,44,140.328303522493,-140.328303522493
io_jump_freq,6,178.733771892855,-178.733771892855
io_jump_freq,7,147.873060441121,-147.873060441121
io_jump_freq,8,175.723039959529,-175.723039959529
io_jump_freq,9,170.060530298008,-170.060530298008
io_jump_freq,10,164.727581650406,-164.727581650406
io_jump_freq,11,196.556895178438,-196.556895178438
io_jump_freq,13,138.767892948763,-138.767892948763
io_jump_freq,14,187.72960063907,-187.72960063907
io_jump_freq,15,157.05406751193,-157.05406751193
io_jump_freq,16,178.25389389566,-178.25389389566
io_jump_freq,17,183.238740391896,-183.238740391896
io_jump_freq,18,186.555727596678,-186.555727596678
io_jump_freq,19,169.679470335539,-169.679470335539
io_jump_freq,20,202.83035743149,-202.83035743149
io_jump_freq,21,107.654245277664,-107.654245277664
io_jump_freq,22,158.775911734235,-158.775911734235
io_jump_freq,23,209.483327378605,-209.483327378605
io_jump_freq,24,175.97171207524,-175.97171207524
io_jump_freq,25,182.82758766359,-182.82758766359
io_jump_freq,26,187.254413344844,-187.254413344844
io_jump_freq,27,179.673532079822,-179.673532079822
io_jump_freq,28,158.57994866206,-158.57994866206
io_jump_freq,29,219.971189479831,-219.971189479831
io_jump_freq,30,155.580157735127,-155.580157735127
io_jump_freq,31,204.249899394508,-204.249899394508
io_jump_freq,32,214.174874000323,-214.174874000323
io_jump_freq,33,126.358496804829,-126.358496804829
io_jump_freq,36,149.757305543637,-149.757305543637
io_jump_freq,37,166.23415949362,-166.23415949362
io_jump_freq,38,164.421975317478,-164.421975317478
io_jump_freq,39,100.574485605064,-100.574485605064
io_jump_freq,41,163.145618786763,-163.145618786763
io_jump_freq,42,141.255787928252,-141.255787928252
io_jump_freq,43,147.938926906376,-147.938926906376
io_jump_freq,44,143.140085798922,-143.140085798922
io_jump_trans,6,177.437633040743,-177.437633040743
io_jump_trans,7,144.306114949788,-144.306114949788
io_jump_trans,8,180.366575010673,-180.366575010673
io_jump_trans,9,178.174253894653,-178.174253894653
io_jump_trans,10,162.484721569903,-162.484721569903
io_jump_trans,11,207.908816464016,-207.908816464016
io_jump_trans,13,133.842594132549,-133.842594132549
io_jump_trans,14,180.074345294465,-180.074345294465
io_jump_trans,15,158.001538002908,-158.001538002908
io_jump_trans,16,177.522763542306,-177.522763542306
io_jump_trans,17,176.609602249665,-176.609602249665
io_jump_trans,18,191.231815729371,-191.231815729371
io_jump_trans,19,165.483647292449,-165.483647292449
io_jump_trans,20,203.019296270346,-203.019296270346
